SAP,BFM,DESCRIPTION,TOOL ID,LOCATION,PRIORITY,PM QTY,REVIEWED,Time of Completion
96007165,20243169,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG79,LCS001 LOWER,3,1,,
96007159,20243163,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG73,LCS001 LOWER,3,1,,
96007153,20243157,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG67,LCS001 LOWER,3,1,,
96007161,20243165,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG75,LCS001 LOWER,3,1,,
96007164,20243168,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG78,LCS001 LOWER,3,1,,
96007178,20243182,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG12,LCS001 LOWER,3,1,,
96007177,20243181,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG11,LCS001 LOWER,3,1,,
96007233,20243237,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG67,LCS001 LOWER,3,1,,
96007234,20243238,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG68,LCS001 LOWER,3,1,,
96007235,20243239,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG69,LCS001 LOWER,3,1,,
96007239,20243243,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG73,LCS001 LOWER,3,1,,
96007238,20243242,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG72,LCS001 LOWER,3,1,,
96007237,20243241,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG71,LCS001 LOWER,3,1,,
96007236,20243240,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG70,LCS001 LOWER,3,1,,
96007243,20243247,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG77,LCS001 LOWER,3,1,,
96007240,20243244,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG74,LCS001 LOWER,3,1,,
96007244,20243248,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG78,LCS001 LOWER,3,1,,
96007241,20243245,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG75,LCS001 LOWER,3,1,,
96007245,20243249,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG79,LCS001 LOWER,3,1,,
96007246,20243250,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG80,LCS001 LOWER,3,1,,
96007242,20243246,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG76,LCS001 LOWER,3,1,,
96007091,20243095,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG05,LCS001 LOWER,3,1,,
96007092,20243096,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG06,LCS001 LOWER,3,1,,
96007121,20243125,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG35,LCS001 LOWER,3,1,,
96007122,20243126,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG36,LCS001 LOWER,3,1,,
96007123,20243127,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG37,LCS001 LOWER,3,1,,
96007124,20243128,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG38,LCS001 LOWER,3,1,,
96007125,20243129,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG39,LCS001 LOWER,3,1,,
96007126,20243130,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG40,LCS001 LOWER,3,1,,
96007127,20243131,DRILL TEMPLATE FOR STRINGER SPLICE FR30,C01302000-DJIG41,LCS001 LOWER,3,1,,
